iter	Passed	Remaining
0	140	140126
1	143	71767
2	148	49216
3	152	37977
4	157	31396
5	162	26839
6	166	23642
7	171	21282
8	176	19465
9	181	17926
10	185	16702
11	190	15693
12	195	14829
13	199	14060
14	203	13394
15	209	12904
16	213	12332
17	217	11880
18	221	11440
19	225	11039
20	228	10637
21	230	10267
22	233	9907
23	236	9598
24	238	9297
25	240	9009
26	242	8747
27	244	8503
28	247	8283
29	250	8084
30	252	7885
31	254	7698
32	256	7510
33	257	7329
34	259	7164
35	261	7000
36	263	6854
37	265	6715
38	267	6585
39	268	6454
40	270	6332
41	272	6217
42	274	6102
43	275	5994
44	277	5889
45	280	5819
46	282	5729
47	284	5639
48	286	5551
49	287	5466
50	289	5384
51	290	5304
52	292	5228
53	294	5153
54	295	5081
55	297	5015
56	299	4954
57	301	4890
58	302	4827
59	304	4767
60	305	4708
61	307	4651
62	309	4596
63	310	4543
64	312	4492
65	314	4450
66	316	4405
67	318	4359
68	319	4314
69	321	4270
70	323	4226
71	324	4183
72	326	4142
73	327	4103
74	329	4067
75	331	4030
76	333	3992
77	334	3956
78	336	3920
79	337	3886
80	339	3851
81	341	3817
82	342	3786
83	344	3758
84	346	3732
85	348	3701
86	349	3672
87	351	3644
88	353	3615
89	354	3587
90	356	3559
91	357	3532
92	359	3506
93	361	3483
94	363	3459
95	364	3434
96	366	3410
97	367	3386
98	369	3363
99	371	3340
100	372	3318
101	374	3296
102	375	3274
103	377	3254
104	379	3233
105	380	3213
106	382	3192
107	384	3172
108	385	3152
109	387	3133
110	389	3116
111	390	3098
112	392	3080
113	394	3063
114	395	3045
115	397	3028
116	398	3011
117	400	2994
118	402	2977
119	403	2961
120	405	2945
121	407	2929
122	408	2914
123	410	2900
124	412	2884
125	413	2869
126	415	2855
127	417	2840
128	418	2827
129	420	2812
130	421	2798
131	423	2784
132	425	2773
133	427	2760
134	428	2747
135	430	2733
136	431	2721
137	433	2709
138	435	2696
139	436	2684
140	438	2672
141	440	2660
142	442	2649
143	443	2637
144	445	2625
145	446	2613
146	448	2602
147	450	2591
148	451	2580
149	453	2569
150	454	2558
151	456	2546
152	458	2537
153	459	2526
154	461	2515
155	463	2506
156	464	2495
157	466	2485
158	468	2475
159	469	2465
160	471	2455
161	472	2446
162	474	2437
163	476	2428
164	477	2418
165	480	2413
166	482	2404
167	483	2395
168	485	2386
169	487	2379
170	489	2371
171	491	2364
172	492	2355
173	494	2347
174	496	2339
175	497	2330
176	499	2322
177	500	2313
178	502	2305
179	504	2296
180	506	2290
181	507	2282
