iter	Passed	Remaining
0	9	9589
1	16	8304
2	26	8900
3	36	9126
4	46	9189
5	56	9310
6	64	9192
7	69	8661
8	78	8636
9	87	8657
10	94	8535
11	100	8276
12	109	8287
13	120	8514
14	130	8545
15	137	8447
16	147	8517
17	155	8496
18	165	8558
19	171	8410
20	180	8430
21	192	8568
22	202	8585
23	211	8583
24	220	8591
25	229	8597
26	238	8582
27	246	8564
28	257	8619
29	266	8622
30	276	8636
31	284	8595
32	293	8590
33	302	8608
34	310	8557
35	320	8577
36	327	8529
37	336	8515
38	344	8480
39	352	8468
40	362	8490
41	371	8465
42	385	8586
43	397	8635
44	406	8616
45	414	8593
46	423	8582
47	430	8542
48	438	8501
49	446	8481
50	454	8463
51	466	8496
52	474	8470
53	481	8434
54	490	8423
55	497	8385
56	504	8351
57	513	8336
58	520	8301
59	528	8278
60	536	8254
61	547	8282
62	556	8274
63	565	8270
64	572	8231
65	577	8177
66	586	8164
67	593	8132
68	601	8114
69	606	8062
70	615	8058
71	625	8065
72	635	8067
73	644	8064
74	652	8052
75	662	8053
76	671	8044
77	680	8046
78	689	8040
79	699	8042
80	709	8045
81	716	8019
82	724	8009
83	731	7980
84	739	7957
85	746	7934
86	754	7919
87	762	7903
88	771	7897
89	777	7862
90	785	7843
91	792	7820
92	799	7800
93	808	7790
94	815	7764
95	822	7749
96	830	7728
97	838	7721
98	848	7723
99	856	7708
100	866	7711
101	873	7694
102	881	7676
103	889	7660
104	899	7663
105	905	7635
106	912	7614
107	919	7597
108	927	7583
109	934	7561
110	943	7560
111	952	7555
112	961	7545
113	967	7522
114	977	7524
115	984	7504
116	993	7494
117	999	7472
118	1007	7458
119	1016	7453
120	1024	7445
121	1032	7427
122	1041	7422
123	1049	7414
124	1057	7400
125	1066	7396
126	1074	7388
127	1082	7371
128	1091	7371
129	1099	7359
130	1108	7352
131	1116	7341
132	1124	7331
133	1136	7343
134	1143	7325
135	1151	7315
136	1159	7303
137	1167	7289
138	1173	7269
139	1182	7264
140	1189	7248
141	1198	7240
142	1206	7229
143	1215	7224
144	1224	7219
145	1232	7207
146	1240	7196
147	1248	7189
148	1257	7183
149	1264	7167
150	1273	7158
151	1280	7141
152	1287	7129
153	1295	7116
154	1303	7108
155	1311	7094
156	1319	7087
157	1328	7078
158	1339	7085
159	1348	7079
160	1354	7060
161	1362	7048
162	1372	7045
163	1381	7043
164	1390	7037
165	1398	7027
166	1406	7018
167	1419	7027
168	1427	7017
169	1435	7010
170	1444	7001
171	1451	6985
172	1461	6984
173	1470	6978
174	1475	6954
175	1483	6943
176	1491	6932
177	1498	6918
178	1506	6907
179	1513	6897
180	1520	6879
181	1526	6861
182	1534	6848
183	1541	6836
184	1550	6829
185	1560	6827
186	1569	6821
187	1576	6811
188	1585	6802
189	1592	6789
190	1600	6778
191	1608	6769
192	1618	6768
193	1625	6751
194	1632	6740
195	1641	6732
196	1648	6718
197	1655	6706
198	1665	6704
199	1671	6687
200	1680	6680
201	1686	6660
202	1693	6648
203	1700	6634
204	1706	6616
205	1714	6606
206	1720	6592
207	1728	6583
208	1735	6569
209	1745	6567
210	1753	6558
211	1770	6579
212	1776	6565
213	1783	6549
214	1790	6538
215	1798	6526
216	1806	6516
217	1813	6504
218	1821	6495
219	1829	6484
220	1836	6472
221	1844	6465
222	1853	6458
223	1863	6454
224	1871	6447
225	1880	6438
226	1891	6439
227	1902	6441
228	1911	6436
229	1920	6430
230	1929	6423
231	1937	6412
232	1943	6398
233	1952	6392
234	1961	6385
235	1969	6375
236	1977	6367
237	1984	6353
238	1991	6341
239	2000	6334
240	2007	6321
241	2015	6313
242	2023	6302
243	2031	6293
244	2040	6286
245	2048	6278
246	2056	6269
247	2063	6257
248	2070	6245
249	2077	6231
250	2084	6219
251	2091	6208
252	2099	6199
253	2106	6187
254	2113	6174
255	2121	6165
256	2129	6156
257	2138	6148
258	2145	6137
259	2151	6123
260	2161	6119
261	2168	6109
262	2174	6092
263	2182	6084
264	2189	6072
265	2199	6069
266	2204	6053
267	2213	6044
268	2219	6031
269	2227	6021
270	2234	6011
271	2240	5997
272	2247	5985
273	2254	5974
274	2262	5964
275	2270	5957
276	2278	5946
277	2284	5932
278	2292	5924
279	2298	5911
280	2306	5901
281	2312	5888
282	2319	5877
283	2328	5869
284	2334	5857
285	2344	5852
286	2355	5850
287	2361	5838
288	2371	5835
289	2379	5825
290	2387	5817
291	2393	5803
292	2397	5784
293	2403	5772
294	2410	5761
295	2418	5752
296	2425	5741
297	2432	5731
298	2442	5725
299	2450	5718
300	2457	5706
301	2464	5695
302	2470	5682
303	2478	5673
304	2486	5666
305	2495	5660
306	2502	5648
307	2510	5641
308	2516	5628
309	2524	5618
310	2532	5610
311	2538	5597
312	2547	5590
313	2555	5582
314	2561	5570
315	2568	5559
316	2575	5549
317	2582	5539
318	2590	5530
319	2598	5521
320	2607	5514
321	2614	5504
322	2621	5495
323	2628	5483
324	2636	5475
325	2646	5471
326	2654	5463
327	2662	5454
328	2670	5446
329	2677	5436
330	2685	5427
331	2691	5416
332	2698	5406
333	2705	5394
334	2713	5386
335	2720	5376
336	2729	5369
337	2735	5358
338	2742	5347
339	2749	5336
340	2759	5332
341	2766	5323
342	2773	5312
343	2782	5305
344	2792	5301
345	2800	5293
346	2807	5282
347	2815	5275
348	2824	5267
349	2830	5256
350	2836	5245
351	2845	5238
352	2853	5230
353	2860	5220
354	2868	5212
355	2876	5203
356	2883	5192
357	2890	5183
358	2897	5173
359	2904	5163
360	2910	5151
361	2918	5144
362	2927	5138
363	2935	5129
364	2944	5121
365	2952	5113
366	2958	5103
367	2966	5094
368	2971	5082
369	2980	5074
370	2987	5064
371	2994	5054
372	3001	5045
373	3009	5037
374	3017	5029
375	3024	5019
376	3034	5013
377	3042	5006
378	3049	4997
379	3056	4987
380	3064	4979
381	3073	4972
382	3082	4965
383	3090	4957
384	3099	4951
385	3107	4943
386	3117	4937
387	3126	4931
388	3138	4929
389	3147	4923
390	3156	4915
391	3168	4913
392	3177	4908
393	3185	4900
394	3192	4890
395	3202	4884
396	3210	4876
397	3219	4869
398	3226	4859
399	3234	4852
400	3243	4845
401	3251	4836
402	3259	4828
403	3267	4819
404	3274	4810
405	3280	4800
406	3288	4790
407	3296	4783
408	3303	4773
409	3312	4766
410	3320	4758
411	3328	4750
412	3337	4743
413	3345	4734
