iter	Passed	Remaining
0	3	3220
1	5	2587
2	7	2515
3	9	2374
4	11	2252
5	13	2222
6	15	2164
7	17	2141
8	19	2093
9	20	2058
10	22	2024
11	24	1996
12	25	1968
13	27	1948
14	29	1929
15	31	1924
16	32	1905
17	34	1885
18	36	1890
19	38	1875
20	40	1865
21	41	1851
22	43	1836
23	44	1827
24	46	1820
25	48	1812
26	50	1802
27	51	1793
28	53	1783
29	54	1777
30	56	1772
31	58	1765
32	60	1759
33	61	1756
34	63	1755
35	65	1748
36	66	1742
37	68	1735
38	70	1737
39	72	1744
40	74	1742
41	76	1737
42	78	1740
43	79	1737
44	81	1732
45	83	1726
46	84	1722
47	86	1715
48	88	1710
49	89	1704
50	91	1699
51	93	1697
52	95	1697
53	96	1693
54	98	1688
55	99	1684
56	101	1679
57	103	1675
58	104	1670
59	106	1665
60	107	1661
61	110	1670
62	112	1676
63	114	1676
64	116	1672
65	117	1668
66	119	1663
67	121	1660
68	122	1656
69	124	1654
70	126	1658
71	128	1658
72	130	1655
73	132	1651
74	133	1648
75	135	1644
76	136	1640
77	138	1637
78	140	1635
79	142	1635
80	143	1632
81	145	1629
82	147	1626
83	148	1622
84	150	1619
85	151	1615
86	153	1612
87	155	1610
88	157	1610
89	158	1607
90	160	1604
91	162	1601
92	163	1598
93	165	1595
94	167	1592
95	168	1589
96	170	1586
97	172	1585
98	174	1584
99	175	1581
100	177	1578
101	178	1575
102	180	1573
103	182	1570
104	183	1567
105	185	1566
106	187	1564
107	189	1567
108	191	1565
109	193	1563
110	194	1560
111	196	1557
112	198	1555
113	199	1552
114	201	1550
115	203	1547
116	205	1548
117	207	1550
118	209	1549
119	210	1547
120	212	1544
121	214	1541
122	215	1538
123	217	1536
124	219	1533
125	221	1533
126	222	1531
127	224	1529
128	226	1526
129	227	1523
130	229	1521
131	230	1518
132	232	1515
133	234	1512
134	235	1511
135	237	1510
136	239	1509
137	241	1506
138	242	1504
139	244	1501
140	246	1498
141	247	1496
142	249	1494
143	250	1491
144	252	1491
145	254	1489
146	256	1486
147	257	1484
148	259	1482
149	261	1479
150	262	1476
151	264	1474
152	266	1473
153	267	1471
154	269	1469
155	271	1467
156	272	1465
157	274	1462
158	276	1460
159	277	1458
160	279	1455
161	281	1455
162	283	1455
163	285	1454
164	287	1454
165	289	1452
166	290	1450
167	292	1448
168	294	1445
169	295	1443
170	297	1440
171	298	1438
172	300	1437
173	302	1436
174	304	1435
175	306	1433
176	307	1431
177	309	1429
178	311	1427
179	312	1425
180	314	1422
181	316	1420
182	318	1420
183	319	1418
184	321	1415
185	323	1413
186	324	1411
187	326	1409
188	328	1407
189	329	1405
190	331	1403
191	333	1402
192	334	1400
193	336	1397
194	337	1395
195	339	1393
196	341	1391
197	342	1388
198	344	1386
199	346	1384
200	348	1383
201	350	1384
202	352	1383
203	353	1381
204	355	1378
205	357	1376
206	358	1374
207	360	1372
208	362	1370
209	363	1368
210	365	1366
211	367	1364
212	368	1362
213	370	1360
214	372	1358
215	373	1356
216	375	1353
217	376	1351
218	378	1349
219	380	1347
220	381	1346
221	383	1344
222	385	1341
223	386	1339
224	388	1337
225	390	1335
226	391	1333
227	393	1331
228	394	1329
229	396	1327
230	398	1326
231	400	1324
232	401	1322
233	403	1320
234	404	1318
235	406	1316
236	408	1314
237	409	1312
238	411	1309
239	413	1308
240	414	1306
241	416	1305
242	418	1302
243	419	1300
244	421	1298
245	423	1296
246	424	1294
247	426	1292
248	427	1290
249	429	1289
250	431	1288
251	433	1286
252	434	1284
253	436	1282
254	437	1279
255	439	1276
256	440	1274
257	442	1272
258	444	1271
259	445	1269
260	447	1267
261	449	1265
262	450	1263
263	452	1261
264	454	1259
265	455	1257
266	457	1255
267	459	1253
268	460	1252
269	462	1251
270	464	1249
271	465	1247
272	467	1245
273	469	1243
274	470	1241
275	472	1239
276	473	1237
277	475	1235
278	477	1233
279	479	1231
280	480	1229
281	482	1228
282	484	1226
283	486	1225
284	487	1223
285	489	1221
286	490	1219
287	492	1218
288	494	1217
289	496	1215
290	498	1214
291	500	1212
292	501	1211
293	503	1209
294	505	1208
295	507	1206
296	509	1205
297	511	1204
298	512	1202
299	514	1200
300	516	1198
301	518	1197
302	519	1195
303	521	1193
304	523	1192
305	525	1192
306	527	1190
307	529	1188
308	531	1187
309	532	1185
310	534	1184
311	536	1181
312	538	1180
313	539	1179
314	541	1178
315	543	1176
316	545	1175
317	546	1173
318	548	1171
319	550	1169
320	552	1167
321	553	1165
322	555	1164
323	557	1163
324	559	1161
325	561	1160
326	562	1158
327	564	1156
